NAME=Cool Muse,HARDWARE=INTERAXON-MUSE,FS=220,#CH=4,DATA=ffffi,PRESET=14,OSCPORT=5000,FILE=log20141210_195303.csv
A1,FP1,FP2,A2,STATUS
750.111,893.224,758.336,837.295,0.000
723.791,761.626,679.377,876.775,0.000
776.431,761.626,732.016,850.455,0.000
723.791,814.265,784.656,889.934,0.000
855.390,840.585,837.295,968.893,0.000
697.472,814.265,758.336,810.975,0.000
671.152,893.224,732.016,797.815,0.000
750.111,814.265,784.656,824.135,0.000
829.070,735.306,732.016,903.094,0.000
881.709,840.585,732.016,942.574,0.000
697.472,840.585,837.295,797.815,0.000
750.111,866.905,653.057,784.656,0.000
750.111,787.946,705.697,850.455,0.000
802.750,735.306,705.697,850.455,0.000
723.791,893.224,837.295,850.455,0.000
855.390,866.905,837.295,968.893,0.000
671.152,787.946,653.057,824.135,0.000
671.152,893.224,679.377,797.815,0.000
750.111,735.306,679.377,876.775,0.000
802.750,708.987,732.016,955.734,0.000
855.390,787.946,626.737,955.734,0.000
697.472,919.544,758.336,850.455,0.000
723.791,840.585,574.098,824.135,0.000
697.472,708.987,574.098,929.414,0.000
802.750,708.987,626.737,929.414,0.000
723.791,761.626,679.377,929.414,0.000
829.070,840.585,732.016,982.053,0.000
644.832,787.946,626.737,876.775,0.000
644.832,787.946,626.737,850.455,0.000
697.472,787.946,679.377,929.414,0.000
776.431,682.667,679.377,982.053,0.000
829.070,814.265,653.057,982.053,0.000
644.832,814.265,732.016,876.775,0.000
697.472,787.946,547.778,850.455,0.000
697.472,735.306,495.139,929.414,0.000
776.431,708.987,574.098,955.734,0.000
618.513,787.946,626.737,929.414,0.000
750.111,840.585,626.737,982.053,0.000
565.873,735.306,442.500,876.775,0.000
513.234,761.626,442.500,824.135,0.000
565.873,708.987,468.819,929.414,0.000
671.152,682.667,547.778,982.053,0.000
671.152,787.946,521.459,982.053,0.000
539.554,814.265,547.778,876.775,0.000
565.873,761.626,416.180,850.455,0.000
565.873,735.306,389.860,982.053,0.000
671.152,708.987,442.500,982.053,0.000
539.554,893.224,574.098,929.414,0.000
644.832,866.905,521.459,955.734,0.000
460.594,656.347,258.262,903.094,0.000
460.594,708.987,337.221,810.975,0.000
513.234,630.027,416.180,955.734,0.000
565.873,630.027,495.139,982.053,0.000
565.873,708.987,389.860,942.574,0.000
486.914,708.987,389.860,863.615,0.000
513.234,603.708,258.262,810.975,0.000
513.234,577.388,284.582,929.414,0.000
644.832,577.388,310.901,955.734,0.000
486.914,630.027,389.860,889.934,0.000
592.193,708.987,389.860,889.934,0.000
460.594,577.388,284.582,863.615,0.000
460.594,577.388,284.582,784.656,0.000
460.594,656.347,389.860,916.254,0.000
565.873,577.388,416.180,942.574,0.000
539.554,577.388,258.262,903.094,0.000
434.275,708.987,337.221,824.135,0.000
486.914,551.068,258.262,824.135,0.000
513.234,498.429,205.623,929.414,0.000
592.193,537.909,337.221,982.053,0.000
407.955,577.388,310.901,876.775,0.000
486.914,643.187,310.901,876.775,0.000
407.955,551.068,258.262,876.775,0.000
